"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00192177,0.00498771,1.21667,0,100001,5.27163,0,0.00498771,0.753858,0.229015,0,0.0171269,100000,287.678,610.663,9.75102,0,0,0.205385,85,1,0,0.196,0,0
0.00192402,0.00497842,1.20942,0,100000,5.29963,0,0.00497842,0.755307,0.229456,0,0.0152374,100000,289.125,614.607,9.58749,0.0537208,0,0.174927,865,1,0.0025,0.196,0.0025,0
0.00193548,0.00497712,1.20357,0,100000,5.35576,0,0.00497712,0.756599,0.229847,0,0.0135533,100000,290.281,624.819,9.15214,0.095831,0,0.147972,1645,1,0.005,0.196,0.005,0
0.00192842,0.00494767,1.19823,0,100000,5.3283,0,0.00494767,0.757877,0.230235,0,0.0118874,100000,291.328,619.326,8.515,0.124402,0,0.124084,2165,1,0.0075,0.196,0.0075,0
0.00188646,0.00484986,1.19297,0,100000,5.13187,0,0.00484986,0.759195,0.230635,0,0.0101702,100000,292.359,583.499,7.75659,0.136967,0,0.0903143,2685,1,0.01,0.196,0.01,0
0.00180757,0.00465445,1.18805,0,100000,4.73953,0,0.00465445,0.760476,0.231023,0,0.00850158,100000,293.325,516.511,6.94548,0.134022,0,0.0708103,2945,1,0.0125,0.196,0.0125,0
0.001699,0.00435228,1.18345,0,100000,4.18395,0,0.00435228,0.761697,0.231393,0,0.00691025,100000,294.226,428.952,6.13319,0.118269,0,0.0508008,3205,1,0.015,0.196,0.015,0
0.00156809,0.00394326,1.17929,0,100000,3.51478,0,0.00394326,0.762825,0.231735,0,0.00543973,100000,295.046,333.131,5.35247,0.0925334,0,0.032162,3465,1,0.0175,0.196,0.0175,0
0.0014199,0.00343115,1.17559,0,100000,2.7847,0,0.00343115,0.763847,0.232044,0,0.00410918,100000,295.777,239.887,4.62563,0.0596884,0,0.0239229,3595,1,0.02,0.196,0.02,0
0.00125712,0.00283218,1.1723,0,100000,2.04401,0,0.00283218,0.764763,0.232322,0,0.00291464,100000,296.428,156.171,3.96115,0.0229201,0,0.0166812,3725,1,0.0225,0.196,0.0225,0
0.00107564,0.00214661,1.16953,0,100000,1.34753,0,0.00214661,0.765543,0.232558,0,0.00189869,100000,296.978,89.781,3.38731,-0.0151283,0,0.00587453,3985,1,0.025,0.196,0.025,0
0.000880757,0.0014207,1.16729,0,100000,0.754048,0,0.0014207,0.766177,0.23275,0,0.00107289,100000,297.422,42.6346,2.91713,-0.049399,0,0.00257172,4115,1,0.0275,0.196,0.0275,0
0.000681053,0.000733586,1.16567,0,100000,0.319968,0,0.000733586,0.766638,0.23289,0,0.000471552,100000,297.745,14.8808,2.57527,-0.0739637,0,0.000644885,4245,1,0.03,0.196,0.03,0
0.000482218,0.00023801,1.16476,0,100000,0.0828832,0,0.00023801,0.7669,0.23297,0,0.000130529,100000,297.928,3.05689,2.38468,-0.0805899,0,0.000644885,4245,1,0.0325,0.196,0.0325,0
0.000268807,6.56114e-05,1.1645,0,100000,0.0212468,0,6.56114e-05,0.766973,0.232992,0,3.45117e-05,100000,297.981,0.733809,2.33544,-0.0699462,0,4.49752e-05,4375,1,0.035,0.196,0.035,0
0.000121947,9.47503e-06,1.16441,0,100000,0.00243624,0,9.47503e-06,0.766997,0.232999,0,4.38882e-06,100000,297.997,0.0658314,2.32279,-0.0562047,0,3.28317e-07,4505,1,0.0375,0.196,0.0375,0
3.85316e-05,3.3654e-07,1.1644,0,100000,6.06622e-05,0,3.3654e-07,0.767,0.233,0,6.07888e-08,100000,298,0.00116778,2.32388,-0.042346,0,9.53785e-10,4635,1,0.04,0.196,0.04,0
2.85772e-05,2.20246e-07,1.1644,0,100000,3.42356e-05,0,2.20246e-07,0.767,0.233,0,9.39138e-09,100000,298,0.000565382,2.3263,-0.0303364,0,9.53785e-10,4635,1,0.0425,0.196,0.0425,0
2.67632e-05,1.99213e-07,1.1644,0,100000,2.94595e-05,0,1.99213e-07,0.767,0.233,0,1.1902e-10,100000,298,0.000456682,2.32817,-0.0184863,0,2.26683e-12,4765,1,0.045,0.196,0.045,0
2.67198e-05,1.98878e-07,1.1644,0,100000,2.93869e-05,0,1.98878e-07,0.767,0.233,0,5.23237e-13,100000,298,0.000455206,2.32965,-0.00694914,0,4.50952e-15,4895,1,0.0475,0.196,0.0475,0
2.6708e-05,1.98804e-07,1.1644,0,100000,2.93684e-05,0,1.98804e-07,0.767,0.233,0,2.11616e-13,100000,298,0.000454804,2.32965,0.00306874,0,4.50952e-15,4895,1,0.05,0.196,0.05,0
2.67068e-05,1.9908e-07,1.1644,0,100000,2.93876e-05,0,1.9908e-07,0.767,0.233,0,9.81847e-16,100000,298,0.000454769,2.32933,0.0130546,0,2.86691e-17,5025,1,0.0525,0.196,0.0525,0
2.67275e-05,2.00083e-07,1.1644,0,100000,2.94851e-05,0,2.00083e-07,0.767,0.233,0,4.03615e-16,100000,298,0.0004555,2.32834,0.0229739,0,2.86691e-17,5025,1,0.055,0.196,0.055,0
2.71551e-05,2.2347e-07,1.1644,0,100000,3.16021e-05,0,2.2347e-07,0.767,0.233,0,6.64892e-18,100000,298,0.000472461,2.32666,0.0323988,0,3.94505e-19,5155,1,0.0575,0.196,0.0575,0
2.84659e-05,2.95448e-07,1.1644,0,100000,3.81034e-05,0,2.95448e-07,0.767,0.233,0,3.19004e-18,100000,298,0.000524657,2.32351,0.0407505,0,3.94505e-19,5155,1,0.06,0.196,0.06,0
2.99826e-05,8.73637e-07,1.1644,0,100000,6.00389e-05,0,8.73637e-07,0.767,0.233,0,1.04691e-19,100000,298,0.000618245,2.32021,0.0491518,0,7.6925e-21,5285,1,0.0625,0.196,0.0625,0
3.31758e-05,5.57297e-06,1.1644,0,100000,0.000207627,0,5.57297e-06,0.767,0.233,0,6.0369e-20,100000,298,0.00104882,2.31581,0.0579573,0,7.6925e-21,5285,1,0.065,0.196,0.065,0
3.63691e-05,1.02723e-05,1.1644,0,100000,0.000355215,0,1.02723e-05,0.767,0.233,0,1.60465e-20,100000,298,0.00147939,2.31142,0.0667629,0,7.6925e-21,5285,1,0.0675,0.196,0.0675,0
4.14972e-05,1.17487e-05,1.1644,0,100000,0.00049559,0,1.17487e-05,0.767,0.233,0,1.64186e-21,100000,298,0.0018679,2.30889,0.0744172,0,1.95856e-22,5415,1,0.07,0.196,0.07,0
4.75048e-05,1.17601e-05,1.1644,0,100000,0.000632685,0,1.17601e-05,0.767,0.233,0,8.36148e-22,100000,298,0.00223729,2.3072,0.0815483,0,1.95856e-22,5415,1,0.0725,0.196,0.0725,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.075,0.196,0.075,0
